respondent_id,xyz_vaccine,seasonal_vaccine
30214,0.73,0.73
30215,0.2,0.2
30216,0.73,0.73
30217,0.82,0.82
30218,0.13,0.13
30219,0.84,0.84
30220,0.6,0.6
30221,0.23,0.23
30222,0.04,0.04
30223,0.68,0.68
30224,0.07,0.07
30225,0.02,0.02
30226,0.85,0.85
30227,0.19,0.19
30228,0.75,0.75
30229,0.54,0.54
30230,0.09,0.09
30231,0.54,0.54
30232,0.73,0.73
30233,0.08,0.08
30234,0.09,0.09
30235,0.07,0.07
30236,0.14,0.14
30237,0.62,0.62
30238,0.1,0.1
30239,0.77,0.77
30240,0.86,0.86
30241,0.77,0.77
30242,0.17,0.17
30243,0.77,0.77
30244,0.08,0.08
30245,0.67,0.67
30246,0.19,0.19
30247,0.05,0.05
30248,0.91,0.91
30249,0.86,0.86
30250,0.21,0.21
30251,0.75,0.75
30252,0.09,0.09
30253,0.25,0.25
30254,0.12,0.12
30255,0.08,0.08
30256,0.87,0.87
30257,0.83,0.83
30258,0.08,0.08
30259,0.09,0.09
30260,0.18,0.18
30261,0.13,0.13
30262,0.45,0.45
30263,0.03,0.03
30264,0.07,0.07
30265,0.21,0.21
30266,0.12,0.12
30267,0.03,0.03
30268,0.08,0.08
30269,0.88,0.88
30270,0.42,0.42
30271,0.78,0.78
30272,0.37,0.37
30273,0.08,0.08
30274,0.7,0.7
30275,0.27,0.27
30276,0.1,0.1
30277,0.15,0.15
30278,0.79,0.79
30279,0.66,0.66
30280,0.86,0.86
30281,0.06,0.06
30282,0.2,0.2
30283,0.16,0.16
30284,0.69,0.69
30285,0.73,0.73
30286,0.22,0.22
30287,0.25,0.25
30288,0.13,0.13
30289,0.18,0.18
30290,0.03,0.03
30291,0.04,0.04
30292,0.82,0.82
30293,0.24,0.24
30294,0.83,0.83
30295,0.19,0.19
30296,0.14,0.14
30297,0.29,0.29
30298,0.14,0.14
30299,0.17,0.17
30300,0.88,0.88
30301,0.74,0.74
30302,0.32,0.32
30303,0.62,0.62
30304,0.27,0.27
30305,0.57,0.57
30306,0.58,0.58
30307,0.96,0.96
30308,0.18,0.18
30309,0.7,0.7
30310,0.79,0.79
30311,0.11,0.11
30312,0.25,0.25
30313,0.1,0.1
30314,0.25,0.25
30315,0.09,0.09
30316,0.44,0.44
30317,0.49,0.49
30318,0.24,0.24
30319,0.35,0.35
30320,0.13,0.13
30321,0.05,0.05
30322,0.04,0.04
30323,0.13,0.13
30324,0.11,0.11
30325,0.12,0.12
30326,0.09,0.09
30327,0.47,0.47
30328,0.41,0.41
30329,0.01,0.01
30330,0.03,0.03
30331,0.15,0.15
30332,0.03,0.03
30333,0.05,0.05
30334,0.06,0.06
30335,0.53,0.53
30336,0.1,0.1
30337,0.84,0.84
30338,0.2,0.2
30339,0.77,0.77
30340,0.04,0.04
30341,0.77,0.77
30342,0.72,0.72
30343,0.24,0.24
30344,0.77,0.77
30345,0.71,0.71
30346,0.09,0.09
30347,0.15,0.15
30348,0.24,0.24
30349,0.06,0.06
30350,0.77,0.77
30351,0.04,0.04
30352,0.22,0.22
30353,0.07,0.07
30354,0.06,0.06
30355,0.02,0.02
30356,0.04,0.04
30357,0.1,0.1
30358,0.87,0.87
30359,0.09,0.09
30360,0.72,0.72
30361,0.16,0.16
30362,0.77,0.77
30363,0.03,0.03
30364,0.15,0.15
30365,0.28,0.28
30366,0.1,0.1
30367,0.76,0.76
30368,0.16,0.16
30369,0.12,0.12
30370,0.34,0.34
30371,0.16,0.16
30372,0.02,0.02
30373,0.11,0.11
30374,0.77,0.77
30375,0.13,0.13
30376,0.04,0.04
30377,0.1,0.1
30378,0.26,0.26
30379,0.15,0.15
30380,0.12,0.12
30381,0.21,0.21
30382,0.23,0.23
30383,0.08,0.08
30384,0.07,0.07
30385,0.67,0.67
30386,0.91,0.91
30387,0.84,0.84
30388,0.21,0.21
30389,0.24,0.24
30390,0.11,0.11
30391,0.87,0.87
30392,0.09,0.09
30393,0.1,0.1
30394,0.09,0.09
30395,0.16,0.16
30396,0.08,0.08
30397,0.09,0.09
30398,0.9,0.9
30399,0.04,0.04
30400,0.16,0.16
30401,0.25,0.25
30402,0.73,0.73
30403,0.64,0.64
30404,0.58,0.58
30405,0.06,0.06
30406,0.04,0.04
30407,0.06,0.06
30408,0.09,0.09
30409,0.17,0.17
30410,0.14,0.14
30411,0.36,0.36
30412,0.08,0.08
30413,0.19,0.19
30414,0.04,0.04
30415,0.16,0.16
30416,0.04,0.04
30417,0.12,0.12
30418,0.07,0.07
30419,0.06,0.06
30420,0.17,0.17
30421,0.36,0.36
30422,0.14,0.14
30423,0.28,0.28
30424,0.05,0.05
30425,0.84,0.84
30426,0.82,0.82
30427,0.72,0.72
30428,0.81,0.81
30429,0.2,0.2
30430,0.82,0.82
30431,0.08,0.08
30432,0.13,0.13
30433,0.09,0.09
30434,0.12,0.12
30435,0.02,0.02
30436,0.04,0.04
30437,0.75,0.75
30438,0.26,0.26
30439,0.07,0.07
30440,0.24,0.24
30441,0.75,0.75
30442,0.36,0.36
30443,0.21,0.21
30444,0.03,0.03
30445,0.5,0.5
30446,0.07,0.07
30447,0.72,0.72
30448,0.07,0.07
30449,0.12,0.12
30450,0.19,0.19
30451,0.11,0.11
30452,0.08,0.08
30453,0.11,0.11
30454,0.2,0.2
30455,0.05,0.05
30456,0.11,0.11
30457,0.09,0.09
30458,0.1,0.1
30459,0.16,0.16
30460,0.7,0.7
30461,0.63,0.63
30462,0.07,0.07
30463,0.11,0.11
30464,0.79,0.79
30465,0.16,0.16
30466,0.14,0.14
30467,0.15,0.15
30468,0.14,0.14
30469,0.34,0.34
30470,0.09,0.09
30471,0.75,0.75
30472,0.12,0.12
30473,0.1,0.1
30474,0.69,0.69
30475,0.08,0.08
30476,0.06,0.06
30477,0.14,0.14
30478,0.21,0.21
30479,0.79,0.79
30480,0.15,0.15
30481,0.08,0.08
30482,0.1,0.1
30483,0.24,0.24
30484,0.65,0.65
30485,0.7,0.7
30486,0.74,0.74
30487,0.76,0.76
30488,0.16,0.16
30489,0.1,0.1
30490,0.76,0.76
30491,0.09,0.09
30492,0.1,0.1
30493,0.54,0.54
30494,0.27,0.27
30495,0.09,0.09
30496,0.11,0.11
30497,0.13,0.13
30498,0.1,0.1
30499,0.86,0.86
30500,0.08,0.08
30501,0.77,0.77
30502,0.1,0.1
30503,0.74,0.74
30504,0.31,0.31
30505,0.11,0.11
30506,0.48,0.48
30507,0.1,0.1
30508,0.79,0.79
30509,0.76,0.76
30510,0.1,0.1
30511,0.08,0.08
30512,0.1,0.1
30513,0.07,0.07
30514,0.17,0.17
30515,0.48,0.48
30516,0.15,0.15
30517,0.06,0.06
30518,0.09,0.09
30519,0.12,0.12
30520,0.67,0.67
30521,0.01,0.01
30522,0.78,0.78
30523,0.47,0.47
30524,0.29,0.29
30525,0.85,0.85
30526,0.13,0.13
30527,0.11,0.11
30528,0.67,0.67
30529,0.19,0.19
30530,0.17,0.17
30531,0.09,0.09
30532,0.2,0.2
30533,0.08,0.08
30534,0.94,0.94
30535,0.18,0.18
30536,0.66,0.66
30537,0.47,0.47
30538,0.07,0.07
30539,0.21,0.21
30540,0.48,0.48
30541,0.74,0.74
30542,0.12,0.12
30543,0.92,0.92
30544,0.09,0.09
30545,0.1,0.1
30546,0.88,0.88
30547,0.24,0.24
30548,0.75,0.75
30549,0.13,0.13
30550,0.21,0.21
30551,0.48,0.48
30552,0.69,0.69
30553,0.15,0.15
30554,0.14,0.14
30555,0.2,0.2
30556,0.04,0.04
30557,0.32,0.32
30558,0.78,0.78
30559,0.23,0.23
30560,0.07,0.07
30561,0.39,0.39
30562,0.19,0.19
30563,0.84,0.84
30564,0.17,0.17
30565,0.1,0.1
30566,0.1,0.1
30567,0.86,0.86
30568,0.18,0.18
30569,0.02,0.02
30570,0.09,0.09
30571,0.79,0.79
30572,0.77,0.77
30573,0.16,0.16
30574,0.04,0.04
30575,0.06,0.06
30576,0.18,0.18
30577,0.17,0.17
30578,0.21,0.21
30579,0.35,0.35
30580,0.05,0.05
30581,0.77,0.77
30582,0.16,0.16
30583,0.1,0.1
30584,0.09,0.09
30585,0.86,0.86
30586,0.69,0.69
30587,0.44,0.44
30588,0.18,0.18
30589,0.1,0.1
30590,0.13,0.13
30591,0.2,0.2
30592,0.24,0.24
30593,0.13,0.13
30594,0.05,0.05
30595,0.07,0.07
30596,0.69,0.69
30597,0.13,0.13
30598,0.14,0.14
30599,0.04,0.04
30600,0.15,0.15
30601,0.68,0.68
30602,0.28,0.28
30603,0.1,0.1
30604,0.13,0.13
30605,0.28,0.28
30606,0.12,0.12
30607,0.18,0.18
30608,0.18,0.18
30609,0.88,0.88
30610,0.15,0.15
30611,0.1,0.1
30612,0.1,0.1
30613,0.75,0.75
30614,0.83,0.83
30615,0.04,0.04
30616,0.05,0.05
30617,0.09,0.09
30618,0.16,0.16
30619,0.08,0.08
30620,0.22,0.22
30621,0.14,0.14
30622,0.06,0.06
30623,0.83,0.83
30624,0.81,0.81
30625,0.78,0.78
30626,0.67,0.67
30627,0.08,0.08
30628,0.74,0.74
30629,0.7,0.7
30630,0.11,0.11
30631,0.56,0.56
30632,0.24,0.24
30633,0.82,0.82
30634,0.2,0.2
30635,0.05,0.05
30636,0.49,0.49
30637,0.1,0.1
30638,0.17,0.17
30639,0.15,0.15
30640,0.36,0.36
30641,0.14,0.14
30642,0.1,0.1
30643,0.47,0.47
30644,0.17,0.17
30645,0.09,0.09
30646,0.26,0.26
30647,0.54,0.54
30648,0.1,0.1
30649,0.54,0.54
30650,0.03,0.03
30651,0.67,0.67
30652,0.13,0.13
30653,0.64,0.64
30654,0.11,0.11
30655,0.08,0.08
30656,0.06,0.06
30657,0.12,0.12
30658,0.02,0.02
30659,0.31,0.31
30660,0.09,0.09
30661,0.18,0.18
30662,0.1,0.1
30663,0.4,0.4
30664,0.1,0.1
30665,0.05,0.05
30666,0.3,0.3
30667,0.11,0.11
30668,0.06,0.06
30669,0.05,0.05
30670,0.77,0.77
30671,0.15,0.15
30672,0.14,0.14
30673,0.24,0.24
30674,0.05,0.05
30675,0.14,0.14
30676,0.2,0.2
30677,0.05,0.05
30678,0.19,0.19
30679,0.76,0.76
30680,0.36,0.36
30681,0.25,0.25
30682,0.04,0.04
30683,0.62,0.62
30684,0.11,0.11
30685,0.07,0.07
30686,0.18,0.18
30687,0.14,0.14
30688,0.71,0.71
30689,0.2,0.2
30690,0.3,0.3
30691,0.12,0.12
30692,0.21,0.21
30693,0.12,0.12
30694,0.21,0.21
30695,0.82,0.82
30696,0.12,0.12
30697,0.04,0.04
30698,0.24,0.24
30699,0.14,0.14
30700,0.75,0.75
30701,0.7,0.7
30702,0.85,0.85
30703,0.74,0.74
30704,0.11,0.11
30705,0.19,0.19
30706,0.07,0.07
30707,0.13,0.13
30708,0.37,0.37
30709,0.22,0.22
30710,0.86,0.86
30711,0.19,0.19
30712,0.08,0.08
30713,0.62,0.62
30714,0.75,0.75
30715,0.14,0.14
30716,0.94,0.94
30717,0.42,0.42
30718,0.09,0.09
30719,0.29,0.29
30720,0.07,0.07
30721,0.33,0.33
30722,0.07,0.07
30723,0.92,0.92
30724,0.83,0.83
30725,0.74,0.74
30726,0.17,0.17
30727,0.69,0.69
30728,0.87,0.87
30729,0.05,0.05
30730,0.74,0.74
30731,0.92,0.92
30732,0.6,0.6
30733,0.55,0.55
30734,0.08,0.08
30735,0.71,0.71
30736,0.83,0.83
30737,0.28,0.28
30738,0.07,0.07
30739,0.05,0.05
30740,0.22,0.22
30741,0.17,0.17
30742,0.11,0.11
30743,0.1,0.1
30744,0.18,0.18
30745,0.84,0.84
30746,0.7,0.7
30747,0.03,0.03
30748,0.3,0.3
30749,0.18,0.18
30750,0.0,0.0
30751,0.12,0.12
30752,0.74,0.74
30753,0.24,0.24
30754,0.2,0.2
30755,0.71,0.71
30756,0.1,0.1
30757,0.78,0.78
30758,0.1,0.1
30759,0.79,0.79
30760,0.13,0.13
30761,0.81,0.81
30762,0.74,0.74
30763,0.11,0.11
30764,0.12,0.12
30765,0.8,0.8
30766,0.07,0.07
30767,0.68,0.68
30768,0.47,0.47
30769,0.19,0.19
30770,0.37,0.37
30771,0.21,0.21
30772,0.49,0.49
30773,0.16,0.16
30774,0.29,0.29
30775,0.27,0.27
30776,0.1,0.1
30777,0.46,0.46
30778,0.11,0.11
30779,0.06,0.06
30780,0.04,0.04
30781,0.1,0.1
30782,0.51,0.51
30783,0.07,0.07
30784,0.14,0.14
30785,0.87,0.87
30786,0.03,0.03
30787,0.64,0.64
30788,0.16,0.16
30789,0.23,0.23
30790,0.12,0.12
30791,0.75,0.75
30792,0.16,0.16
30793,0.05,0.05
30794,0.01,0.01
30795,0.18,0.18
30796,0.17,0.17
30797,0.02,0.02
30798,0.05,0.05
30799,0.07,0.07
30800,0.81,0.81
30801,0.2,0.2
30802,0.36,0.36
30803,0.53,0.53
30804,0.9,0.9
30805,0.7,0.7
30806,0.11,0.11
30807,0.09,0.09
30808,0.09,0.09
30809,0.78,0.78
30810,0.28,0.28
30811,0.87,0.87
30812,0.03,0.03
30813,0.73,0.73
30814,0.17,0.17
30815,0.84,0.84
30816,0.49,0.49
30817,0.43,0.43
30818,0.77,0.77
30819,0.79,0.79
30820,0.05,0.05
30821,0.37,0.37
30822,0.78,0.78
30823,0.25,0.25
30824,0.86,0.86
30825,0.18,0.18
30826,0.38,0.38
30827,0.74,0.74
30828,0.06,0.06
30829,0.25,0.25
30830,0.69,0.69
30831,0.16,0.16
30832,0.08,0.08
30833,0.06,0.06
30834,0.08,0.08
30835,0.76,0.76
30836,0.0,0.0
30837,0.29,0.29
30838,0.69,0.69
30839,0.07,0.07
30840,0.84,0.84
30841,0.08,0.08
30842,0.73,0.73
30843,0.71,0.71
30844,0.32,0.32
30845,0.09,0.09
30846,0.05,0.05
30847,0.16,0.16
30848,0.1,0.1
30849,0.05,0.05
30850,0.25,0.25
30851,0.51,0.51
30852,0.14,0.14
30853,0.08,0.08
30854,0.62,0.62
30855,0.37,0.37
30856,0.7,0.7
30857,0.24,0.24
30858,0.77,0.77
30859,0.07,0.07
30860,0.72,0.72
30861,0.33,0.33
30862,0.75,0.75
30863,0.1,0.1
30864,0.05,0.05
30865,0.06,0.06
30866,0.03,0.03
30867,0.76,0.76
30868,0.08,0.08
30869,0.14,0.14
30870,0.09,0.09
30871,0.43,0.43
30872,0.03,0.03
30873,0.51,0.51
30874,0.05,0.05
30875,0.14,0.14
30876,0.08,0.08
30877,0.09,0.09
30878,0.2,0.2
30879,0.37,0.37
30880,0.62,0.62
30881,0.31,0.31
30882,0.09,0.09
30883,0.07,0.07
30884,0.61,0.61
30885,0.04,0.04
30886,0.85,0.85
30887,0.22,0.22
30888,0.32,0.32
30889,0.08,0.08
30890,0.72,0.72
30891,0.83,0.83
30892,0.03,0.03
30893,0.22,0.22
30894,0.76,0.76
30895,0.22,0.22
30896,0.69,0.69
30897,0.1,0.1
30898,0.67,0.67
30899,0.81,0.81
30900,0.12,0.12
30901,0.71,0.71
30902,0.04,0.04
30903,0.14,0.14
30904,0.38,0.38
30905,0.29,0.29
30906,0.04,0.04
30907,0.03,0.03
30908,0.02,0.02
30909,0.09,0.09
30910,0.84,0.84
30911,0.34,0.34
30912,0.14,0.14
30913,0.38,0.38
30914,0.05,0.05
30915,0.83,0.83
30916,0.06,0.06
30917,0.4,0.4
30918,0.15,0.15
30919,0.22,0.22
30920,0.13,0.13
30921,0.82,0.82
30922,0.06,0.06
30923,0.01,0.01
30924,0.13,0.13
30925,0.72,0.72
30926,0.81,0.81
30927,0.29,0.29
30928,0.29,0.29
30929,0.06,0.06
30930,0.27,0.27
30931,0.85,0.85
30932,0.08,0.08
30933,0.18,0.18
30934,0.13,0.13
30935,0.78,0.78
30936,0.17,0.17
30937,0.76,0.76
30938,0.15,0.15
30939,0.07,0.07
30940,0.81,0.81
30941,0.04,0.04
30942,0.2,0.2
30943,0.85,0.85
30944,0.63,0.63
30945,0.03,0.03
30946,0.76,0.76
30947,0.13,0.13
30948,0.12,0.12
30949,0.7,0.7
30950,0.84,0.84
30951,0.02,0.02
30952,0.02,0.02
30953,0.08,0.08
30954,0.17,0.17
30955,0.28,0.28
30956,0.2,0.2
30957,0.04,0.04
30958,0.16,0.16
30959,0.87,0.87
30960,0.79,0.79
30961,0.09,0.09
30962,0.1,0.1
30963,0.85,0.85
30964,0.07,0.07
30965,0.14,0.14
30966,0.06,0.06
30967,0.58,0.58
30968,0.28,0.28
30969,0.8,0.8
30970,0.04,0.04
30971,0.02,0.02
30972,0.2,0.2
30973,0.08,0.08
30974,0.18,0.18
30975,0.78,0.78
30976,0.07,0.07
30977,0.05,0.05
30978,0.24,0.24
30979,0.76,0.76
30980,0.78,0.78
30981,0.4,0.4
30982,0.08,0.08
30983,0.52,0.52
30984,0.15,0.15
30985,0.23,0.23
30986,0.14,0.14
30987,0.07,0.07
30988,0.88,0.88
30989,0.78,0.78
30990,0.12,0.12
30991,0.02,0.02
30992,0.21,0.21
30993,0.11,0.11
30994,0.08,0.08
30995,0.1,0.1
30996,0.13,0.13
30997,0.72,0.72
30998,0.09,0.09
30999,0.36,0.36
31000,0.35,0.35
31001,0.8,0.8
31002,0.04,0.04
31003,0.08,0.08
31004,0.88,0.88
31005,0.82,0.82
31006,0.02,0.02
31007,0.16,0.16
31008,0.09,0.09
31009,0.72,0.72
31010,0.69,0.69
31011,0.18,0.18
31012,0.16,0.16
31013,0.69,0.69
31014,0.1,0.1
31015,0.11,0.11
31016,0.68,0.68
31017,0.28,0.28
31018,0.8,0.8
31019,0.73,0.73
31020,0.15,0.15
31021,0.09,0.09
31022,0.86,0.86
31023,0.25,0.25
31024,0.67,0.67
31025,0.84,0.84
31026,0.01,0.01
31027,0.38,0.38
31028,0.78,0.78
31029,0.05,0.05
31030,0.2,0.2
31031,0.71,0.71
31032,0.1,0.1
31033,0.05,0.05
31034,0.73,0.73
31035,0.91,0.91
31036,0.76,0.76
31037,0.11,0.11
31038,0.75,0.75
31039,0.25,0.25
31040,0.14,0.14
31041,0.89,0.89
31042,0.37,0.37
31043,0.18,0.18
31044,0.22,0.22
31045,0.08,0.08
31046,0.8,0.8
31047,0.12,0.12
31048,0.23,0.23
31049,0.04,0.04
31050,0.12,0.12
31051,0.07,0.07
31052,0.55,0.55
31053,0.32,0.32
31054,0.66,0.66
31055,0.33,0.33
31056,0.07,0.07
31057,0.37,0.37
31058,0.36,0.36
31059,0.25,0.25
31060,0.13,0.13
31061,0.74,0.74
31062,0.74,0.74
31063,0.17,0.17
31064,0.1,0.1
31065,0.14,0.14
31066,0.16,0.16
31067,0.31,0.31
31068,0.33,0.33
31069,0.39,0.39
31070,0.09,0.09
31071,0.74,0.74
31072,0.16,0.16
31073,0.5,0.5
31074,0.72,0.72
31075,0.74,0.74
31076,0.86,0.86
31077,0.76,0.76
31078,0.04,0.04
31079,0.18,0.18
31080,0.28,0.28
31081,0.8,0.8
31082,0.24,0.24
31083,0.91,0.91
31084,0.08,0.08
31085,0.24,0.24
31086,0.09,0.09
31087,0.51,0.51
31088,0.22,0.22
31089,0.02,0.02
31090,0.8,0.8
31091,0.16,0.16
31092,0.01,0.01
31093,0.16,0.16
31094,0.17,0.17
31095,0.36,0.36
31096,0.26,0.26
31097,0.19,0.19
31098,0.11,0.11
31099,0.07,0.07
31100,0.61,0.61
31101,0.09,0.09
31102,0.3,0.3
31103,0.45,0.45
31104,0.17,0.17
31105,0.82,0.82
31106,0.77,0.77
31107,0.08,0.08
31108,0.18,0.18
31109,0.09,0.09
31110,0.06,0.06
31111,0.37,0.37
31112,0.44,0.44
31113,0.08,0.08
31114,0.24,0.24
31115,0.06,0.06
31116,0.1,0.1
31117,0.9,0.9
31118,0.86,0.86
31119,0.35,0.35
31120,0.14,0.14
31121,0.15,0.15
31122,0.78,0.78
31123,0.25,0.25
31124,0.27,0.27
31125,0.68,0.68
31126,0.25,0.25
31127,0.05,0.05
31128,0.34,0.34
31129,0.02,0.02
31130,0.07,0.07
31131,0.82,0.82
31132,0.83,0.83
31133,0.14,0.14
31134,0.23,0.23
31135,0.17,0.17
31136,0.61,0.61
31137,0.22,0.22
31138,0.11,0.11
31139,0.14,0.14
31140,0.01,0.01
31141,0.18,0.18
31142,0.28,0.28
31143,0.1,0.1
31144,0.74,0.74
31145,0.13,0.13
31146,0.1,0.1
31147,0.1,0.1
31148,0.09,0.09
31149,0.12,0.12
31150,0.12,0.12
31151,0.07,0.07
31152,0.3,0.3
31153,0.12,0.12
31154,0.23,0.23
31155,0.78,0.78
31156,0.29,0.29
31157,0.18,0.18
31158,0.88,0.88
31159,0.26,0.26
31160,0.12,0.12
31161,0.76,0.76
31162,0.38,0.38
31163,0.74,0.74
31164,0.36,0.36
31165,0.73,0.73
31166,0.28,0.28
31167,0.31,0.31
31168,0.28,0.28
31169,0.14,0.14
31170,0.08,0.08
31171,0.15,0.15
31172,0.87,0.87
31173,0.42,0.42
31174,0.49,0.49
31175,0.12,0.12
31176,0.3,0.3
31177,0.39,0.39
31178,0.77,0.77
31179,0.18,0.18
31180,0.36,0.36
31181,0.18,0.18
31182,0.76,0.76
31183,0.08,0.08
31184,0.04,0.04
31185,0.24,0.24
31186,0.61,0.61
31187,0.08,0.08
31188,0.04,0.04
31189,0.1,0.1
31190,0.1,0.1
31191,0.07,0.07
31192,0.07,0.07
31193,0.03,0.03
31194,0.11,0.11
31195,0.17,0.17
31196,0.76,0.76
31197,0.08,0.08
31198,0.08,0.08
31199,0.3,0.3
31200,0.08,0.08
31201,0.02,0.02
31202,0.66,0.66
31203,0.06,0.06
31204,0.06,0.06
31205,0.85,0.85
31206,0.11,0.11
31207,0.2,0.2
31208,0.87,0.87
31209,0.18,0.18
31210,0.11,0.11
31211,0.19,0.19
31212,0.09,0.09
31213,0.19,0.19
31214,0.19,0.19
31215,0.92,0.92
31216,0.04,0.04
31217,0.21,0.21
31218,0.94,0.94
31219,0.23,0.23
31220,0.13,0.13
31221,0.78,0.78
31222,0.77,0.77
31223,0.11,0.11
31224,0.39,0.39
31225,0.06,0.06
31226,0.84,0.84
31227,0.12,0.12
31228,0.46,0.46
31229,0.86,0.86
31230,0.15,0.15
31231,0.02,0.02
31232,0.77,0.77
31233,0.43,0.43
31234,0.81,0.81
31235,0.43,0.43
31236,0.8,0.8
31237,0.64,0.64
31238,0.49,0.49
31239,0.81,0.81
31240,0.75,0.75
31241,0.26,0.26
31242,0.08,0.08
31243,0.36,0.36
31244,0.19,0.19
31245,0.14,0.14
31246,0.24,0.24
31247,0.16,0.16
31248,0.1,0.1
31249,0.19,0.19
31250,0.11,0.11
31251,0.78,0.78
31252,0.06,0.06
31253,0.6,0.6
31254,0.07,0.07
31255,0.15,0.15
31256,0.34,0.34
31257,0.11,0.11
31258,0.06,0.06
31259,0.16,0.16
31260,0.09,0.09
31261,0.02,0.02
31262,0.76,0.76
31263,0.13,0.13
31264,0.06,0.06
31265,0.58,0.58
31266,0.09,0.09
31267,0.62,0.62
31268,0.74,0.74
31269,0.46,0.46
31270,0.11,0.11
31271,0.74,0.74
31272,0.76,0.76
31273,0.23,0.23
31274,0.35,0.35
31275,0.13,0.13
31276,0.83,0.83
31277,0.09,0.09
31278,0.41,0.41
31279,0.08,0.08
31280,0.86,0.86
31281,0.11,0.11
31282,0.3,0.3
31283,0.09,0.09
31284,0.06,0.06
31285,0.86,0.86
31286,0.74,0.74
31287,0.56,0.56
31288,0.24,0.24
31289,0.77,0.77
31290,0.04,0.04
31291,0.05,0.05
31292,0.5,0.5
31293,0.25,0.25
31294,0.9,0.9
31295,0.11,0.11
31296,0.76,0.76
31297,0.87,0.87
31298,0.78,0.78
31299,0.15,0.15
31300,0.88,0.88
31301,0.9,0.9
31302,0.76,0.76
31303,0.02,0.02
31304,0.68,0.68
31305,0.71,0.71
31306,0.78,0.78
31307,0.11,0.11
31308,0.68,0.68
31309,0.14,0.14
31310,0.43,0.43
31311,0.1,0.1
31312,0.77,0.77
31313,0.11,0.11
31314,0.14,0.14
31315,0.27,0.27
31316,0.05,0.05
31317,0.06,0.06
31318,0.14,0.14
31319,0.46,0.46
31320,0.42,0.42
31321,0.09,0.09
31322,0.54,0.54
31323,0.74,0.74
31324,0.03,0.03
31325,0.44,0.44
31326,0.86,0.86
31327,0.15,0.15
31328,0.9,0.9
31329,0.72,0.72
31330,0.01,0.01
31331,0.17,0.17
31332,0.8,0.8
31333,0.51,0.51
31334,0.39,0.39
31335,0.28,0.28
31336,0.09,0.09
31337,0.06,0.06
31338,0.09,0.09
31339,0.26,0.26
31340,0.13,0.13
31341,0.74,0.74
31342,0.11,0.11
31343,0.41,0.41
31344,0.78,0.78
31345,0.79,0.79
31346,0.06,0.06
31347,0.19,0.19
31348,0.15,0.15
31349,0.21,0.21
31350,0.23,0.23
31351,0.9,0.9
31352,0.01,0.01
31353,0.3,0.3
31354,0.8,0.8
31355,0.26,0.26
31356,0.11,0.11
31357,0.28,0.28
31358,0.08,0.08
31359,0.08,0.08
31360,0.1,0.1
31361,0.1,0.1
31362,0.09,0.09
31363,0.41,0.41
31364,0.1,0.1
31365,0.16,0.16
31366,0.17,0.17
31367,0.14,0.14
31368,0.32,0.32
31369,0.76,0.76
31370,0.09,0.09
31371,0.05,0.05
31372,0.35,0.35
31373,0.21,0.21
31374,0.11,0.11
31375,0.81,0.81
31376,0.11,0.11
31377,0.84,0.84
31378,0.44,0.44
31379,0.85,0.85
31380,0.72,0.72
31381,0.67,0.67
31382,0.08,0.08
31383,0.7,0.7
31384,0.74,0.74
31385,0.44,0.44
31386,0.42,0.42
31387,0.33,0.33
31388,0.16,0.16
31389,0.86,0.86
31390,0.6,0.6
31391,0.82,0.82
31392,0.15,0.15
31393,0.16,0.16
31394,0.12,0.12
31395,0.02,0.02
31396,0.76,0.76
31397,0.23,0.23
31398,0.15,0.15
31399,0.85,0.85
31400,0.27,0.27
31401,0.18,0.18
31402,0.6,0.6
31403,0.05,0.05
31404,0.24,0.24
31405,0.45,0.45
31406,0.14,0.14
31407,0.08,0.08
31408,0.09,0.09
31409,0.1,0.1
31410,0.07,0.07
31411,0.12,0.12
31412,0.37,0.37
31413,0.0,0.0
31414,0.11,0.11
31415,0.21,0.21
31416,0.09,0.09
31417,0.16,0.16
31418,0.06,0.06
31419,0.58,0.58
31420,0.03,0.03
31421,0.27,0.27
31422,0.05,0.05
31423,0.71,0.71
31424,0.67,0.67
31425,0.2,0.2
31426,0.15,0.15
31427,0.78,0.78
31428,0.4,0.4
31429,0.13,0.13
31430,0.15,0.15
31431,0.15,0.15
31432,0.06,0.06
31433,0.82,0.82
31434,0.78,0.78
31435,0.05,0.05
31436,0.15,0.15
31437,0.12,0.12
31438,0.71,0.71
31439,0.18,0.18
31440,0.88,0.88
31441,0.38,0.38
31442,0.9,0.9
31443,0.03,0.03
31444,0.08,0.08
31445,0.14,0.14
31446,0.74,0.74
31447,0.2,0.2
31448,0.56,0.56
31449,0.09,0.09
31450,0.79,0.79
31451,0.8,0.8
31452,0.35,0.35
31453,0.17,0.17
31454,0.87,0.87
31455,0.83,0.83
31456,0.12,0.12
31457,0.77,0.77
31458,0.16,0.16
31459,0.15,0.15
31460,0.04,0.04
31461,0.75,0.75
31462,0.17,0.17
31463,0.79,0.79
31464,0.21,0.21
31465,0.83,0.83
31466,0.1,0.1
31467,0.89,0.89
31468,0.8,0.8
31469,0.68,0.68
31470,0.7,0.7
31471,0.43,0.43
31472,0.24,0.24
31473,0.76,0.76
31474,0.38,0.38
31475,0.84,0.84
31476,0.14,0.14
31477,0.13,0.13
31478,0.01,0.01
31479,0.76,0.76
31480,0.32,0.32
31481,0.06,0.06
31482,0.8,0.8
31483,0.03,0.03
